date,channel,device,step_name,step_order,session_count
2024-01-01,meta,mobile,visit,1,1551
2024-01-01,meta,mobile,product_view,2,821
2024-01-01,meta,mobile,add_to_cart,3,318
2024-01-01,meta,mobile,checkout,4,203
2024-01-01,meta,mobile,purchase,5,119
2024-01-01,meta,desktop,visit,1,2394
2024-01-01,meta,desktop,product_view,2,1519
2024-01-01,meta,desktop,add_to_cart,3,474
2024-01-01,meta,desktop,checkout,4,244
2024-01-01,meta,desktop,purchase,5,176
2024-01-01,meta,tablet,visit,1,368
2024-01-01,meta,tablet,product_view,2,231
2024-01-01,meta,tablet,add_to_cart,3,59
2024-01-01,meta,tablet,checkout,4,32
2024-01-01,meta,tablet,purchase,5,20
2024-01-01,google,mobile,visit,1,972
2024-01-01,google,mobile,product_view,2,669
2024-01-01,google,mobile,add_to_cart,3,246
2024-01-01,google,mobile,checkout,4,110
2024-01-01,google,mobile,purchase,5,79
2024-01-01,google,desktop,visit,1,1420
2024-01-01,google,desktop,product_view,2,804
2024-01-01,google,desktop,add_to_cart,3,326
2024-01-01,google,desktop,checkout,4,202
2024-01-01,google,desktop,purchase,5,156
2024-01-01,google,tablet,visit,1,987
2024-01-01,google,tablet,product_view,2,497
2024-01-01,google,tablet,add_to_cart,3,144
2024-01-01,google,tablet,checkout,4,81
2024-01-01,google,tablet,purchase,5,46
2024-01-01,organic,mobile,visit,1,2905
2024-01-01,organic,mobile,product_view,2,1740
2024-01-01,organic,mobile,add_to_cart,3,642
2024-01-01,organic,mobile,checkout,4,389
2024-01-01,organic,mobile,purchase,5,255
2024-01-01,organic,desktop,visit,1,417
2024-01-01,organic,desktop,product_view,2,229
2024-01-01,organic,desktop,add_to_cart,3,79
2024-01-01,organic,desktop,checkout,4,46
2024-01-01,organic,desktop,purchase,5,28
2024-01-01,organic,tablet,visit,1,170
2024-01-01,organic,tablet,product_view,2,116
2024-01-01,organic,tablet,add_to_cart,3,29
2024-01-01,organic,tablet,checkout,4,16
2024-01-01,organic,tablet,purchase,5,9
2024-01-01,email,mobile,visit,1,1292
2024-01-01,email,mobile,product_view,2,769
2024-01-01,email,mobile,add_to_cart,3,249
2024-01-01,email,mobile,checkout,4,140
2024-01-01,email,mobile,purchase,5,86
2024-01-01,email,desktop,visit,1,937
2024-01-01,email,desktop,product_view,2,529
2024-01-01,email,desktop,add_to_cart,3,215
2024-01-01,email,desktop,checkout,4,114
2024-01-01,email,desktop,purchase,5,77
2024-01-01,email,tablet,visit,1,327
2024-01-01,email,tablet,product_view,2,163
2024-01-01,email,tablet,add_to_cart,3,66
2024-01-01,email,tablet,checkout,4,34
2024-01-01,email,tablet,purchase,5,24
2024-01-01,direct,mobile,visit,1,824
2024-01-01,direct,mobile,product_view,2,550
2024-01-01,direct,mobile,add_to_cart,3,147
2024-01-01,direct,mobile,checkout,4,65
2024-01-01,direct,mobile,purchase,5,49
2024-01-01,direct,desktop,visit,1,378
2024-01-01,direct,desktop,product_view,2,196
2024-01-01,direct,desktop,add_to_cart,3,60
2024-01-01,direct,desktop,checkout,4,33
2024-01-01,direct,desktop,purchase,5,18
2024-01-01,direct,tablet,visit,1,599
2024-01-01,direct,tablet,product_view,2,326
2024-01-01,direct,tablet,add_to_cart,3,82
2024-01-01,direct,tablet,checkout,4,42
2024-01-01,direct,tablet,purchase,5,32
2024-01-01,tiktok,mobile,visit,1,969
2024-01-01,tiktok,mobile,product_view,2,596
2024-01-01,tiktok,mobile,add_to_cart,3,214
2024-01-01,tiktok,mobile,checkout,4,125
2024-01-01,tiktok,mobile,purchase,5,76
2024-01-01,tiktok,desktop,visit,1,1582
2024-01-01,tiktok,desktop,product_view,2,914
2024-01-01,tiktok,desktop,add_to_cart,3,276
2024-01-01,tiktok,desktop,checkout,4,131
2024-01-01,tiktok,desktop,purchase,5,73
2024-01-01,tiktok,tablet,visit,1,336
2024-01-01,tiktok,tablet,product_view,2,208
2024-01-01,tiktok,tablet,add_to_cart,3,71
2024-01-01,tiktok,tablet,checkout,4,39
2024-01-01,tiktok,tablet,purchase,5,24
2024-01-02,meta,mobile,visit,1,2121
2024-01-02,meta,mobile,product_view,2,1073
2024-01-02,meta,mobile,add_to_cart,3,293
2024-01-02,meta,mobile,checkout,4,182
2024-01-02,meta,mobile,purchase,5,127
2024-01-02,meta,desktop,visit,1,2368
2024-01-02,meta,desktop,product_view,2,1443
2024-01-02,meta,desktop,add_to_cart,3,442
2024-01-02,meta,desktop,checkout,4,216
2024-01-02,meta,desktop,purchase,5,147
2024-01-02,meta,tablet,visit,1,303
2024-01-02,meta,tablet,product_view,2,209
2024-01-02,meta,tablet,add_to_cart,3,72
2024-01-02,meta,tablet,checkout,4,46
2024-01-02,meta,tablet,purchase,5,30
2024-01-02,google,mobile,visit,1,2679
2024-01-02,google,mobile,product_view,2,1773
2024-01-02,google,mobile,add_to_cart,3,732
2024-01-02,google,mobile,checkout,4,384
2024-01-02,google,mobile,purchase,5,213
2024-01-02,google,desktop,visit,1,2532
2024-01-02,google,desktop,product_view,2,1631
2024-01-02,google,desktop,add_to_cart,3,417
2024-01-02,google,desktop,checkout,4,183
2024-01-02,google,desktop,purchase,5,141
2024-01-02,google,tablet,visit,1,846
2024-01-02,google,tablet,product_view,2,571
2024-01-02,google,tablet,add_to_cart,3,152
2024-01-02,google,tablet,checkout,4,89
2024-01-02,google,tablet,purchase,5,62
2024-01-02,organic,mobile,visit,1,2711
2024-01-02,organic,mobile,product_view,2,1454
2024-01-02,organic,mobile,add_to_cart,3,411
2024-01-02,organic,mobile,checkout,4,190
2024-01-02,organic,mobile,purchase,5,106
2024-01-02,organic,desktop,visit,1,494
2024-01-02,organic,desktop,product_view,2,279
2024-01-02,organic,desktop,add_to_cart,3,91
2024-01-02,organic,desktop,checkout,4,42
2024-01-02,organic,desktop,purchase,5,26
2024-01-02,organic,tablet,visit,1,292
2024-01-02,organic,tablet,product_view,2,197
2024-01-02,organic,tablet,add_to_cart,3,73
2024-01-02,organic,tablet,checkout,4,44
2024-01-02,organic,tablet,purchase,5,32
2024-01-02,email,mobile,visit,1,1862
2024-01-02,email,mobile,product_view,2,1215
2024-01-02,email,mobile,add_to_cart,3,372
2024-01-02,email,mobile,checkout,4,177
2024-01-02,email,mobile,purchase,5,104
2024-01-02,email,desktop,visit,1,1144
2024-01-02,email,desktop,product_view,2,627
2024-01-02,email,desktop,add_to_cart,3,206
2024-01-02,email,desktop,checkout,4,89
2024-01-02,email,desktop,purchase,5,66
2024-01-02,email,tablet,visit,1,217
2024-01-02,email,tablet,product_view,2,110
2024-01-02,email,tablet,add_to_cart,3,42
2024-01-02,email,tablet,checkout,4,18
2024-01-02,email,tablet,purchase,5,10
2024-01-02,direct,mobile,visit,1,1078
2024-01-02,direct,mobile,product_view,2,608
2024-01-02,direct,mobile,add_to_cart,3,230
2024-01-02,direct,mobile,checkout,4,93
2024-01-02,direct,mobile,purchase,5,72
2024-01-02,direct,desktop,visit,1,1795
2024-01-02,direct,desktop,product_view,2,975
2024-01-02,direct,desktop,add_to_cart,3,356
2024-01-02,direct,desktop,checkout,4,206
2024-01-02,direct,desktop,purchase,5,149
2024-01-02,direct,tablet,visit,1,468
2024-01-02,direct,tablet,product_view,2,272
2024-01-02,direct,tablet,add_to_cart,3,91
2024-01-02,direct,tablet,checkout,4,58
