date,campaign_name,campaign_id,ad_group,impressions,clicks,cost,ctr,avg_cpc,conversions,conversion_value,currency
2024-01-01,Search_Marka_2024,987654321,Rakip_Kelimeleri,12710,1236,5087.05,0.0972,4.1157,89,88428.17,TRY
2024-01-01,Search_Genel_Kategori,987654322,Marka_Kelimeleri,48477,2323,4233.69,0.0479,1.8225,182,34752.4,TRY
2024-01-01,Shopping_Urun_Feed,987654323,Marka_Kelimeleri,41405,2974,8583,0.0718,2.886,409,300941.96,TRY
2024-01-01,Display_Remarketing,987654324,Marka_Kelimeleri,41166,1839,3536.84,0.0447,1.9232,254,188896.77,TRY
2024-01-01,YouTube_TrueView,987654325,Rakip_Kelimeleri,27621,2935,9321.01,0.1063,3.1758,177,177010.2,TRY
2024-01-01,PMAX_Performans,987654326,Rakip_Kelimeleri,31106,3029,7524.07,0.0974,2.484,182,146481.84,TRY
2024-01-02,Search_Marka_2024,987654321,Genel_Kategoriler,9078,697,2098.06,0.0768,3.0101,74,31202.87,TRY
2024-01-02,Search_Genel_Kategori,987654322,Marka_Kelimeleri,12543,762,1837.66,0.0607,2.4116,45,18473.25,TRY
2024-01-02,Shopping_Urun_Feed,987654323,Uzun_Kuyruk,45923,3581,17596.12,0.078,4.9137,333,240493.08,TRY
2024-01-02,Display_Remarketing,987654324,Uzun_Kuyruk,59541,5610,21430.81,0.0942,3.8201,266,186627.49,TRY
2024-01-02,YouTube_TrueView,987654325,Uzun_Kuyruk,37438,2765,9433.35,0.0739,3.4117,279,194046.83,TRY
2024-01-03,Search_Marka_2024,987654321,Remarketing_Listesi,38163,1775,9334.94,0.0465,5.2591,188,76215.19,TRY
2024-01-03,Search_Genel_Kategori,987654322,Rakip_Kelimeleri,40008,2779,7910.61,0.0695,2.8466,179,115204.27,TRY
2024-01-03,Shopping_Urun_Feed,987654323,Marka_Kelimeleri,50869,2783,5812.69,0.0547,2.0886,163,175794.76,TRY
2024-01-03,Display_Remarketing,987654324,Remarketing_Listesi,28683,1442,4315.83,0.0503,2.9929,164,65036.74,TRY
2024-01-03,YouTube_TrueView,987654325,Remarketing_Listesi,57141,5532,10477.92,0.0968,1.8941,250,118635.65,TRY
2024-01-03,PMAX_Performans,987654326,Urun_Kategorisi,40339,3241,5939.52,0.0803,1.8326,207,114242.79,TRY
2024-01-04,Search_Marka_2024,987654321,Remarketing_Listesi,33471,1885,7192.76,0.0563,3.8158,192,168661.42,TRY
2024-01-04,Search_Genel_Kategori,987654322,Uzun_Kuyruk,25875,1523,3274.52,0.0589,2.15,205,130283.69,TRY
2024-01-04,Shopping_Urun_Feed,987654323,Marka_Kelimeleri,50146,4482,22443.9,0.0894,5.0076,385,454996.96,TRY
2024-01-04,Display_Remarketing,987654324,Uzun_Kuyruk,31185,3224,11277.46,0.1034,3.498,154,46740.49,TRY
2024-01-04,YouTube_TrueView,987654325,Urun_Kategorisi,12803,1464,2365.49,0.1143,1.6158,119,100374.38,TRY
2024-01-04,PMAX_Performans,987654326,Uzun_Kuyruk,25439,1399,5749.87,0.055,4.11,150,27447.75,TRY
2024-01-05,Search_Marka_2024,987654321,Rakip_Kelimeleri,43468,2634,12926.65,0.0606,4.9076,141,34480.14,TRY
2024-01-05,Search_Genel_Kategori,987654322,Remarketing_Listesi,47433,4464,13029.38,0.0941,2.9188,443,458075.74,TRY
2024-01-05,Shopping_Urun_Feed,987654323,Genel_Kategoriler,47052,2205,7505.52,0.0469,3.4039,171,201654.11,TRY
2024-01-05,Display_Remarketing,987654324,Remarketing_Listesi,32791,2662,14393.13,0.0812,5.4069,369,94096.06,TRY
2024-01-05,YouTube_TrueView,987654325,Urun_Kategorisi,11105,695,2130.39,0.0626,3.0653,90,18701.98,TRY
2024-01-05,PMAX_Performans,987654326,Genel_Kategoriler,24357,2717,7896.14,0.1115,2.9062,262,265960.69,TRY
2024-01-06,Search_Marka_2024,987654321,Genel_Kategoriler,50589,2381,7590.55,0.0471,3.188,100,115460.82,TRY
2024-01-06,Search_Genel_Kategori,987654322,Urun_Kategorisi,25788,1542,4344.54,0.0598,2.8175,49,11867.35,TRY
2024-01-06,Shopping_Urun_Feed,987654323,Rakip_Kelimeleri,28404,3127,15378.46,0.1101,4.918,102,109451.94,TRY
2024-01-06,Display_Remarketing,987654324,Genel_Kategoriler,22211,1225,3240.27,0.0552,2.6451,92,94248,TRY
