date,source,medium,channel_group,sessions,users,new_users,bounce_rate,avg_session_duration,pages_per_session,pages_viewed,conversions,revenue
2024-01-01,google,cpc,Paid Search,1778,1469,1125,43,101.63,4.83,8591,34,26401.56
2024-01-01,google,organic,Organic Search,979,838,647,46.4,238.53,3.82,3743,63,39607.53
2024-01-01,facebook,cpc,Paid Social,1784,1548,1227,42.57,75.81,6.02,10741,82,16825.65
2024-01-01,instagram,cpc,Paid Social,1871,1653,967,44.11,293.22,1.95,3648,70,62164.84
2024-01-01,email,email,Email,2408,2059,1161,39.84,199.74,3.47,8358,176,149769.27
2024-01-01,direct,none,Direct,1518,1242,714,31.41,270.17,3.9,5921,103,20421.34
2024-01-01,tiktok,cpc,Paid Social,2065,1828,1316,62.53,255.66,2.1,4337,46,35197.57
2024-01-01,bing,cpc,Paid Search,2030,1697,1226,58.26,220.77,5.38,10925,143,83775.51
2024-01-02,google,cpc,Paid Search,2384,2014,1517,31.03,283.22,5.6,13355,103,83596.62
2024-01-02,google,organic,Organic Search,2051,1567,950,31.27,126.31,3.94,8080,207,53808.05
2024-01-02,facebook,cpc,Paid Social,2047,1625,973,46.17,245.03,2.66,5446,78,67506.86
2024-01-02,instagram,cpc,Paid Social,594,487,271,56.66,297.84,2.93,1741,37,14368.16
2024-01-02,email,email,Email,1970,1699,1028,43.99,98.71,3.07,6049,71,62617.47
2024-01-02,direct,none,Direct,996,767,555,47.03,143.09,2.85,2840,64,56532.44
2024-01-02,tiktok,cpc,Paid Social,826,695,403,43.53,250.88,4.53,3744,38,23806.45
2024-01-02,bing,cpc,Paid Search,2352,2042,1385,51.72,163.06,5.08,11948,59,32241.55
2024-01-03,google,cpc,Paid Search,1473,1169,890,57.59,261.34,2.11,3109,94,47685.34
2024-01-03,google,organic,Organic Search,800,632,410,66.9,154.81,6.12,4900,78,62463.21
2024-01-03,facebook,cpc,Paid Social,2349,1815,1192,43.2,115.09,4.65,10927,170,51485.31
2024-01-03,instagram,cpc,Paid Social,464,378,254,67.7,253.33,2.9,1345,28,7115.5
2024-01-03,email,email,Email,1101,894,690,46.88,294.5,2,2203,51,20029.04
2024-01-03,direct,none,Direct,807,673,439,62.09,119.78,2.12,1711,32,12794.45
