date,campaign_name,campaign_id,adset_name,ad_name,impressions,clicks,reach,spend,ctr,cpc,conversions,conversion_value,currency
2024-01-01,RetargetingKampanya_Q1,23456789001,Benzer_Kitle_1pct,Story_Format,29842,1620,22640,2447.48,0.0543,1.5108,51,48272.19,TRY
2024-01-01,GenisKitle_Marka_2024,23456789002,Benzer_Kitle_1pct,Story_Format,74953,1716,59816,4085.09,0.0229,2.3806,84,84123.13,TRY
2024-01-01,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Collection_Format,21730,455,18101,1097.87,0.0209,2.4129,17,2787.23,TRY
2024-01-01,VideoReklam_Farkindalik,23456789004,Sepet_Terk,Carousel_Urunler,15086,454,12502,825.49,0.0301,1.8183,27,26211.53,TRY
2024-01-02,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Banner_V1,40013,1666,34321,4704.18,0.0416,2.8236,61,16944.7,TRY
2024-01-02,GenisKitle_Marka_2024,23456789002,Genis_Kitle_18-35,Story_Format,41070,1195,30434,2634.7,0.0291,2.2048,62,26819.64,TRY
2024-01-02,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Story_Format,50088,1846,40243,7799.29,0.0369,4.225,195,197817.13,TRY
2024-01-02,VideoReklam_Farkindalik,23456789004,Video_Izleyiciler,Banner_V2,25806,1347,19439,5520.08,0.0522,4.0981,101,83865.24,TRY
2024-01-03,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Story_Format,71858,3174,61064,9902.58,0.0442,3.1199,86,32188.5,TRY
2024-01-03,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Video_15sn,51646,1949,39530,8567.28,0.0377,4.3957,189,158819.46,TRY
2024-01-03,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Carousel_Urunler,51026,1421,34348,3674.16,0.0278,2.5856,147,107860.74,TRY
2024-01-03,VideoReklam_Farkindalik,23456789004,Genis_Kitle_18-35,Banner_V1,67954,3032,48803,12367.33,0.0446,4.0789,94,96039.22,TRY
2024-01-04,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Video_15sn,18080,370,12018,984.12,0.0205,2.6598,9,3215.38,TRY
2024-01-04,GenisKitle_Marka_2024,23456789002,Sadakat_Kitlesi,Banner_V1,22898,420,17478,537.69,0.0183,1.2802,14,7423.62,TRY
2024-01-04,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Story_Format,60976,2764,42232,3893.04,0.0453,1.4085,121,38551.54,TRY
2024-01-04,VideoReklam_Farkindalik,23456789004,Video_Izleyiciler,Collection_Format,46848,1959,33184,4605.51,0.0418,2.3509,113,87419.98,TRY
2024-01-04,Sezon_Kampanyasi_Yaz,23456789005,Video_Izleyiciler,Video_15sn,19354,949,14954,1608.65,0.049,1.6951,65,49018.38,TRY
2024-01-05,RetargetingKampanya_Q1,23456789001,Video_Izleyiciler,Video_15sn,24373,1126,16763,3197.3,0.0462,2.8395,107,76728.87,TRY
2024-01-05,GenisKitle_Marka_2024,23456789002,Benzer_Kitle_1pct,Video_15sn,76765,2632,56365,3337.05,0.0343,1.2679,173,146027.28,TRY
2024-01-05,DynamicProduct_Katalog,23456789003,Video_Izleyiciler,Carousel_Urunler,79564,4163,54173,17808.51,0.0523,4.2778,182,53078.51,TRY
2024-01-05,VideoReklam_Farkindalik,23456789004,Benzer_Kitle_1pct,Banner_V1,23152,1140,20166,3018.74,0.0492,2.648,93,93868.62,TRY
2024-01-06,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Collection_Format,42370,2005,28191,5717.53,0.0473,2.8516,103,107642,TRY
2024-01-06,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Collection_Format,68128,2532,56272,5879.73,0.0372,2.3222,83,77768.75,TRY
2024-01-06,DynamicProduct_Katalog,23456789003,Genis_Kitle_18-35,Collection_Format,78019,2726,62668,11199.37,0.0349,4.1084,176,45653.67,TRY
2024-01-07,RetargetingKampanya_Q1,23456789001,Retargeting_30gun,Banner_V1,76093,1565,66164,2422.83,0.0206,1.5481,103,19396.29,TRY
2024-01-07,GenisKitle_Marka_2024,23456789002,Benzer_Kitle_1pct,Video_15sn,37590,1308,26305,1834.69,0.0348,1.4027,67,29965.06,TRY
2024-01-07,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Banner_V2,79132,4268,59739,17267.46,0.0539,4.0458,121,90151.79,TRY
2024-01-07,VideoReklam_Farkindalik,23456789004,Video_Izleyiciler,Carousel_Urunler,39445,2023,31166,9068.79,0.0513,4.4828,129,21292.48,TRY
2024-01-08,RetargetingKampanya_Q1,23456789001,Benzer_Kitle_1pct,Video_15sn,52434,1597,43482,6641.7,0.0305,4.1589,83,86602.97,TRY
2024-01-08,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Banner_V1,76351,3356,56945,6195.14,0.044,1.846,108,77016.77,TRY
2024-01-08,DynamicProduct_Katalog,23456789003,Sepet_Terk,Story_Format,65379,2507,54880,3784.02,0.0383,1.5094,266,257467.04,TRY
2024-01-08,VideoReklam_Farkindalik,23456789004,Video_Izleyiciler,Banner_V2,38394,1331,28253,2455.2,0.0347,1.8446,149,47303.77,TRY
2024-01-09,RetargetingKampanya_Q1,23456789001,Genis_Kitle_18-35,Story_Format,72228,2568,63162,3624.03,0.0356,1.4112,198,93970.01,TRY
2024-01-09,GenisKitle_Marka_2024,23456789002,Benzer_Kitle_1pct,Video_15sn,23783,1119,20343,2153.81,0.047,1.9248,35,6934.26,TRY
2024-01-09,DynamicProduct_Katalog,23456789003,Benzer_Kitle_1pct,Collection_Format,59161,1780,51552,6566.79,0.0301,3.6892,83,57772.85,TRY
2024-01-10,RetargetingKampanya_Q1,23456789001,Sadakat_Kitlesi,Banner_V2,80117,4087,67763,10186.33,0.051,2.4924,202,137145.66,TRY
2024-01-10,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Collection_Format,70326,3798,53552,6956.53,0.054,1.8316,269,219124.76,TRY
2024-01-10,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Video_15sn,43286,1628,31254,6993.98,0.0376,4.2961,162,107632.71,TRY
2024-01-11,RetargetingKampanya_Q1,23456789001,Video_Izleyiciler,Carousel_Urunler,47400,2414,38717,9551.83,0.0509,3.9568,163,176300.92,TRY
2024-01-11,GenisKitle_Marka_2024,23456789002,Sadakat_Kitlesi,Banner_V2,59747,1116,42582,1772.09,0.0187,1.5879,91,25748.86,TRY
2024-01-11,DynamicProduct_Katalog,23456789003,Genis_Kitle_18-35,Collection_Format,77926,4259,66524,18920.64,0.0547,4.4425,491,506697.41,TRY
2024-01-11,VideoReklam_Farkindalik,23456789004,Sadakat_Kitlesi,Video_15sn,23909,1033,18385,3915.06,0.0432,3.79,39,39706.97,TRY
2024-01-12,RetargetingKampanya_Q1,23456789001,Genis_Kitle_18-35,Banner_V2,68897,2702,58782,10185.96,0.0392,3.7698,203,103029.29,TRY
2024-01-12,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Collection_Format,55675,1186,38554,4405.08,0.0213,3.7142,93,81357.99,TRY
2024-01-12,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Banner_V1,71415,2689,61139,5124.6,0.0377,1.9058,147,132273.82,TRY
2024-01-13,RetargetingKampanya_Q1,23456789001,Genis_Kitle_18-35,Story_Format,74520,2819,51058,7535.25,0.0378,2.673,163,32219.63,TRY
2024-01-13,GenisKitle_Marka_2024,23456789002,Retargeting_30gun,Collection_Format,46167,1617,32382,1949.31,0.035,1.2055,178,105772.3,TRY
2024-01-13,DynamicProduct_Katalog,23456789003,Genis_Kitle_18-35,Banner_V1,32652,1395,22982,2253.32,0.0427,1.6153,146,58817.51,TRY
2024-01-13,VideoReklam_Farkindalik,23456789004,Sadakat_Kitlesi,Collection_Format,44857,1474,34032,2235.78,0.0329,1.5168,160,83725.63,TRY
2024-01-14,RetargetingKampanya_Q1,23456789001,Genis_Kitle_18-35,Collection_Format,78907,4302,57462,7993.79,0.0545,1.8582,489,331402.85,TRY
2024-01-14,GenisKitle_Marka_2024,23456789002,Genis_Kitle_18-35,Video_15sn,79438,2130,67245,4784.08,0.0268,2.246,77,20483,TRY
2024-01-14,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Banner_V2,66329,1467,51325,4215.79,0.0221,2.8737,123,49273.98,TRY
2024-01-14,VideoReklam_Farkindalik,23456789004,Sadakat_Kitlesi,Banner_V2,16130,816,12863,1195.92,0.0506,1.4656,59,59328.94,TRY
2024-01-14,Sezon_Kampanyasi_Yaz,23456789005,Sepet_Terk,Carousel_Urunler,62519,1223,54491,2831.43,0.0196,2.3152,86,42352.06,TRY
2024-01-15,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Video_15sn,67199,2730,49084,7687.51,0.0406,2.8159,297,143001.23,TRY
2024-01-15,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Collection_Format,78530,3959,53500,13514.84,0.0504,3.4137,184,45595.42,TRY
2024-01-15,DynamicProduct_Katalog,23456789003,Benzer_Kitle_1pct,Video_15sn,14786,365,11370,1164.13,0.0247,3.1894,16,5741.72,TRY
2024-01-16,RetargetingKampanya_Q1,23456789001,Sadakat_Kitlesi,Collection_Format,65903,1263,52367,3480.64,0.0192,2.7559,58,29852.26,TRY
2024-01-16,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Video_15sn,31709,1677,22984,6083.78,0.0529,3.6278,152,55364.61,TRY
2024-01-16,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Collection_Format,67046,3013,48082,5718.75,0.0449,1.898,211,110696.35,TRY
2024-01-17,RetargetingKampanya_Q1,23456789001,Genis_Kitle_18-35,Banner_V2,73002,2676,56587,3770.91,0.0367,1.4092,146,28361.12,TRY
2024-01-17,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Banner_V1,19224,935,16257,3478.96,0.0486,3.7208,70,17517.83,TRY
2024-01-17,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Banner_V2,11416,220,8771,714.31,0.0193,3.2469,21,11339.99,TRY
2024-01-18,RetargetingKampanya_Q1,23456789001,Retargeting_30gun,Carousel_Urunler,13242,595,10526,916.33,0.0449,1.5401,22,4797.17,TRY
2024-01-18,GenisKitle_Marka_2024,23456789002,Genis_Kitle_18-35,Banner_V2,82585,1808,70053,3358.19,0.0219,1.8574,141,38668.18,TRY
2024-01-18,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Story_Format,36757,1455,31583,4330.36,0.0396,2.9762,122,21421.25,TRY
2024-01-19,RetargetingKampanya_Q1,23456789001,Genis_Kitle_18-35,Banner_V2,69363,3768,55391,7213.09,0.0543,1.9143,121,37506.63,TRY
2024-01-19,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Banner_V1,36015,1405,28075,3793.55,0.039,2.7,48,49865.81,TRY
2024-01-19,DynamicProduct_Katalog,23456789003,Benzer_Kitle_1pct,Story_Format,59553,1455,49019,4363.51,0.0244,2.999,91,40238.6,TRY
2024-01-19,VideoReklam_Farkindalik,23456789004,Video_Izleyiciler,Story_Format,23930,896,20172,2422.94,0.0374,2.7042,77,80799.13,TRY
2024-01-19,Sezon_Kampanyasi_Yaz,23456789005,Genis_Kitle_18-35,Collection_Format,17238,616,13489,1359.18,0.0357,2.2065,28,25172.99,TRY
2024-01-20,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Video_15sn,28649,1007,18804,4139.35,0.0351,4.1106,97,40059.72,TRY
2024-01-20,GenisKitle_Marka_2024,23456789002,Retargeting_30gun,Video_15sn,78521,2493,57888,6421.35,0.0317,2.5758,265,135224.93,TRY
2024-01-20,DynamicProduct_Katalog,23456789003,Genis_Kitle_18-35,Collection_Format,22204,463,17665,1343.38,0.0209,2.9015,39,41825.13,TRY
2024-01-21,RetargetingKampanya_Q1,23456789001,Sadakat_Kitlesi,Story_Format,62570,1370,50366,5227.33,0.0219,3.8156,137,30287.5,TRY
2024-01-21,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Collection_Format,13515,452,10133,1985.01,0.0334,4.3916,36,24864.97,TRY
2024-01-21,DynamicProduct_Katalog,23456789003,Video_Izleyiciler,Carousel_Urunler,80108,1649,58179,6957.34,0.0206,4.2191,133,74743.41,TRY
