date,campaign_name,campaign_id,ad_group,impressions,clicks,cost,ctr,avg_cpc,conversions,conversion_value,currency
2024-01-01,Search_Marka_2024,987654321,Genel_Kategoriler,48405,3010,8775.28,0.0622,2.9154,93,25065.34,TRY
2024-01-01,Search_Genel_Kategori,987654322,Rakip_Kelimeleri,59739,2851,4732.98,0.0477,1.6601,298,166399.07,TRY
2024-01-01,Shopping_Urun_Feed,987654323,Uzun_Kuyruk,42869,4935,26273.26,0.1151,5.3239,679,168715.86,TRY
2024-01-02,Search_Marka_2024,987654321,Uzun_Kuyruk,29907,2338,5415.55,0.0782,2.3163,121,104692.6,TRY
2024-01-02,Search_Genel_Kategori,987654322,Marka_Kelimeleri,45202,5090,18882.06,0.1126,3.7096,703,397694.1,TRY
2024-01-02,Shopping_Urun_Feed,987654323,Uzun_Kuyruk,14550,1576,7835.55,0.1083,4.9718,186,76773.22,TRY
2024-01-03,Search_Marka_2024,987654321,Genel_Kategoriler,21204,1055,2533.41,0.0498,2.4013,52,33810.3,TRY
2024-01-03,Search_Genel_Kategori,987654322,Urun_Kategorisi,19156,2284,9456.64,0.1192,4.1404,137,65331.95,TRY
2024-01-03,Shopping_Urun_Feed,987654323,Genel_Kategoriler,19840,1731,3870.71,0.0872,2.2361,242,160345.1,TRY
2024-01-03,Display_Remarketing,987654324,Remarketing_Listesi,12910,941,4490.15,0.0729,4.7717,41,37839.15,TRY
2024-01-03,YouTube_TrueView,987654325,Marka_Kelimeleri,29882,1907,4055.08,0.0638,2.1264,139,70790.95,TRY
2024-01-04,Search_Marka_2024,987654321,Remarketing_Listesi,16447,918,1638.82,0.0558,1.7852,58,13871.96,TRY
2024-01-04,Search_Genel_Kategori,987654322,Marka_Kelimeleri,50018,2325,8088.62,0.0465,3.479,94,49540.09,TRY
2024-01-04,Shopping_Urun_Feed,987654323,Marka_Kelimeleri,32361,2375,4353.97,0.0734,1.8333,309,287843.15,TRY
2024-01-04,Display_Remarketing,987654324,Rakip_Kelimeleri,45507,2052,7430.3,0.0451,3.621,82,15685.43,TRY
2024-01-04,YouTube_TrueView,987654325,Urun_Kategorisi,25875,2286,7937.09,0.0883,3.472,222,199556.73,TRY
2024-01-04,PMAX_Performans,987654326,Urun_Kategorisi,26985,2701,8839.63,0.1001,3.2727,107,30358.25,TRY
2024-01-05,Search_Marka_2024,987654321,Urun_Kategorisi,45132,2477,6631.29,0.0549,2.6771,293,60850.66,TRY
2024-01-05,Search_Genel_Kategori,987654322,Uzun_Kuyruk,20853,1757,5630.63,0.0843,3.2047,93,72429.98,TRY
2024-01-05,Shopping_Urun_Feed,987654323,Uzun_Kuyruk,18130,1136,2647.27,0.0627,2.3303,120,70742.08,TRY
2024-01-05,Display_Remarketing,987654324,Uzun_Kuyruk,45707,4212,17412.2,0.0922,4.134,361,297714.89,TRY
2024-01-06,Search_Marka_2024,987654321,Rakip_Kelimeleri,31086,2550,5740.5,0.082,2.2512,144,97294.49,TRY
2024-01-06,Search_Genel_Kategori,987654322,Remarketing_Listesi,9405,1072,3735.94,0.114,3.485,42,10284.84,TRY
2024-01-06,Shopping_Urun_Feed,987654323,Marka_Kelimeleri,12459,753,3448.85,0.0604,4.5801,27,29560.9,TRY
2024-01-06,Display_Remarketing,987654324,Remarketing_Listesi,39445,2700,13694.2,0.0684,5.0719,367,74924.48,TRY
2024-01-06,YouTube_TrueView,987654325,Rakip_Kelimeleri,47519,5657,30610.62,0.119,5.4111,722,481427.33,TRY
2024-01-07,Search_Marka_2024,987654321,Genel_Kategoriler,23865,1611,4634.81,0.0675,2.877,63,32817.64,TRY
2024-01-07,Search_Genel_Kategori,987654322,Rakip_Kelimeleri,33919,2351,3952.42,0.0693,1.6812,200,139796.91,TRY
2024-01-07,Shopping_Urun_Feed,987654323,Marka_Kelimeleri,23810,1177,3114.27,0.0494,2.6459,83,68902.83,TRY
2024-01-08,Search_Marka_2024,987654321,Rakip_Kelimeleri,15843,1188,4499.18,0.075,3.7872,47,53509.96,TRY
2024-01-08,Search_Genel_Kategori,987654322,Genel_Kategoriler,10274,714,2015.08,0.0695,2.8222,60,36465.7,TRY
2024-01-08,Shopping_Urun_Feed,987654323,Genel_Kategoriler,15658,1672,6781.81,0.1068,4.0561,219,91016.36,TRY
2024-01-08,Display_Remarketing,987654324,Urun_Kategorisi,21255,2137,10999.97,0.1005,5.1474,122,136012.67,TRY
2024-01-08,YouTube_TrueView,987654325,Remarketing_Listesi,39152,3510,7374.65,0.0897,2.101,459,204491.99,TRY
2024-01-09,Search_Marka_2024,987654321,Marka_Kelimeleri,51927,3803,8130.72,0.0732,2.138,149,113921.85,TRY
2024-01-09,Search_Genel_Kategori,987654322,Uzun_Kuyruk,6837,569,1337.46,0.0832,2.3505,62,73845.47,TRY
2024-01-09,Shopping_Urun_Feed,987654323,Marka_Kelimeleri,27648,1682,8728.74,0.0608,5.1895,101,83330.79,TRY
2024-01-09,Display_Remarketing,987654324,Genel_Kategoriler,50841,3373,14026.49,0.0663,4.1585,401,415800.29,TRY
2024-01-09,YouTube_TrueView,987654325,Urun_Kategorisi,44921,1856,9232.51,0.0413,4.9744,168,136216.25,TRY
2024-01-10,Search_Marka_2024,987654321,Rakip_Kelimeleri,13135,1267,3783.73,0.0965,2.9864,63,28170.33,TRY
2024-01-10,Search_Genel_Kategori,987654322,Rakip_Kelimeleri,43839,5189,9741.18,0.1184,1.8773,252,194962.97,TRY
2024-01-10,Shopping_Urun_Feed,987654323,Uzun_Kuyruk,52874,3131,7780.87,0.0592,2.4851,233,201176.27,TRY
2024-01-10,Display_Remarketing,987654324,Remarketing_Listesi,48456,4864,21495.39,0.1004,4.4193,291,330905.46,TRY
2024-01-11,Search_Marka_2024,987654321,Remarketing_Listesi,43504,4832,16475.62,0.1111,3.4097,590,602731.41,TRY
2024-01-11,Search_Genel_Kategori,987654322,Uzun_Kuyruk,43365,1770,4871.28,0.0408,2.7521,64,34307.98,TRY
2024-01-11,Shopping_Urun_Feed,987654323,Rakip_Kelimeleri,34556,2056,3723.75,0.0595,1.8112,108,99860.99,TRY
2024-01-11,Display_Remarketing,987654324,Uzun_Kuyruk,32264,1947,5092.99,0.0603,2.6158,223,123147.55,TRY
2024-01-12,Search_Marka_2024,987654321,Uzun_Kuyruk,45778,3585,14137.93,0.0783,3.9436,327,300773.99,TRY
