date,source,medium,channel_group,sessions,users,new_users,bounce_rate,avg_session_duration,pages_per_session,pages_viewed,conversions,revenue
2024-01-01,google,cpc,Paid Search,2282,1848,1021,38.25,258.17,2.42,5524,148,60034.27
2024-01-01,google,organic,Organic Search,720,601,372,56.72,204.17,5.01,3608,65,43308.38
2024-01-01,facebook,cpc,Paid Social,1040,929,688,62.69,68.38,6.16,6411,18,4173.52
2024-01-01,instagram,cpc,Paid Social,1667,1528,1140,41.7,93.81,2.95,4918,126,72901.57
2024-01-01,email,email,Email,1856,1561,934,39.7,290.51,6.5,12066,141,64496.25
2024-01-01,direct,none,Direct,2120,1801,1299,41.47,62.61,2.63,5576,54,30076.23
2024-01-01,tiktok,cpc,Paid Social,1945,1645,1129,32.66,85.33,4.19,8150,26,15157.78
2024-01-01,bing,cpc,Paid Search,1761,1477,1045,55,101.52,6.06,10677,120,77374.13
2024-01-02,google,cpc,Paid Search,1894,1482,867,65.85,93.06,3.06,5798,69,24856.77
2024-01-02,google,organic,Organic Search,1920,1524,941,35.83,255.29,4.8,9216,156,87416.71
2024-01-02,facebook,cpc,Paid Social,533,411,245,47.5,280.35,5.08,2709,42,32826.73
2024-01-02,instagram,cpc,Paid Social,1058,822,482,59.36,255.71,5.1,5397,26,7016.27
2024-01-02,email,email,Email,1624,1225,857,40.3,303.01,2.82,4579,68,49781.88
2024-01-02,direct,none,Direct,1558,1363,780,39.34,238.88,2.21,3443,83,35736.57
2024-01-02,tiktok,cpc,Paid Social,1463,1330,925,55.78,150.21,2.22,3249,74,64784.88
2024-01-02,bing,cpc,Paid Search,1915,1699,1119,46.4,259.92,4.56,8733,123,88341.66
2024-01-03,google,cpc,Paid Search,2251,1887,1289,62.87,208.67,5.32,11980,189,121459.35
2024-01-03,google,organic,Organic Search,1567,1183,838,58.75,297.69,6.39,10015,36,25421.01
2024-01-03,facebook,cpc,Paid Social,753,681,480,57.39,235.86,4.95,3731,50,46113.05
2024-01-03,instagram,cpc,Paid Social,1495,1137,744,55.05,182.12,1.99,2975,105,78918.89
2024-01-03,email,email,Email,1489,1234,729,61.28,78.97,2.7,4021,115,74922.59
2024-01-03,direct,none,Direct,318,241,133,51.36,206.17,6.01,1914,7,2236.92
2024-01-03,tiktok,cpc,Paid Social,2259,1985,1522,50.02,177.57,2.39,5400,43,9150.51
2024-01-03,bing,cpc,Paid Search,747,618,430,45.85,215.16,2.99,2235,32,16188.11
2024-01-04,google,cpc,Paid Search,1250,1045,799,54.78,161.34,5.37,6713,42,15055.66
2024-01-04,google,organic,Organic Search,2378,1989,1219,42.06,174.16,4.95,11774,196,154136.95
2024-01-04,facebook,cpc,Paid Social,1532,1352,964,30.86,194.45,4.51,6910,62,45050.12
2024-01-04,instagram,cpc,Paid Social,1373,1171,777,39.42,288.39,3.68,5054,15,14241.73
2024-01-04,email,email,Email,1105,901,621,51.34,76.47,4.88,5393,47,20074.33
2024-01-04,direct,none,Direct,487,416,298,50.13,111.61,5.74,2800,12,9909.89
2024-01-04,tiktok,cpc,Paid Social,404,327,194,38.56,210.5,3.55,1436,29,24385.01
2024-01-04,bing,cpc,Paid Search,286,251,194,58.47,97.76,2.33,667,22,7378.6
2024-01-05,google,cpc,Paid Search,1165,923,655,43.01,143.72,5.66,6596,36,9625.88
2024-01-05,google,organic,Organic Search,1820,1461,1035,35.82,197.46,2.94,5352,126,90851.23
2024-01-05,facebook,cpc,Paid Social,500,419,285,29.63,144.91,3.2,1601,25,17797.15
2024-01-05,instagram,cpc,Paid Social,978,860,623,53.45,117.56,6.22,6086,17,14779.35
2024-01-05,email,email,Email,1577,1254,694,41.69,319.58,4.68,7380,70,36603.4
2024-01-05,direct,none,Direct,1742,1586,1085,45.48,61.14,2.55,4442,116,32854
2024-01-05,tiktok,cpc,Paid Social,2387,2020,1533,32.62,311.2,4.82,11505,156,110332.28
2024-01-05,bing,cpc,Paid Search,578,522,306,46.72,177.46,5.92,3422,41,38240.32
2024-01-06,google,cpc,Paid Search,1826,1449,1050,49.47,92.84,3.76,6866,161,91131.23
2024-01-06,google,organic,Organic Search,346,311,192,43.92,124.98,3.07,1063,8,4030.19
2024-01-06,facebook,cpc,Paid Social,898,685,447,45.57,303.87,2.06,1850,29,9713.83
2024-01-06,instagram,cpc,Paid Social,915,795,510,43.44,90.76,1.82,1666,68,43384.97
2024-01-06,email,email,Email,940,762,483,32.13,152.24,1.87,1757,12,7353.08
2024-01-06,direct,none,Direct,536,452,284,36.45,158.18,3.2,1718,27,23707.98
2024-01-06,tiktok,cpc,Paid Social,700,599,354,40.41,261.22,5.83,4081,43,21997.69
2024-01-06,bing,cpc,Paid Search,1880,1561,871,51.8,99.99,3.3,6204,78,61542.86
2024-01-07,google,cpc,Paid Search,865,776,439,39.39,119.34,5.92,5121,61,42069.58
2024-01-07,google,organic,Organic Search,1064,965,557,61.68,136.75,3.63,3862,51,26926.63
2024-01-07,facebook,cpc,Paid Social,2043,1830,1042,64.07,87.71,4.04,8254,138,83451.55
2024-01-07,instagram,cpc,Paid Social,1344,1096,811,52.36,80.84,4.88,6562,18,5088.91
2024-01-07,email,email,Email,1521,1328,809,44.64,235.38,3.31,5034,69,43395.93
2024-01-07,direct,none,Direct,2058,1677,1309,66.59,99.44,3.68,7576,50,29919.59
2024-01-07,tiktok,cpc,Paid Social,1571,1401,1109,57.5,68.89,4.47,7024,92,79660.21
2024-01-07,bing,cpc,Paid Search,872,659,364,64.52,113.09,6.08,5302,13,9711.01
