date,campaign_name,campaign_id,adset_name,ad_name,impressions,clicks,reach,spend,ctr,cpc,conversions,conversion_value,currency
2024-01-01,RetargetingKampanya_Q1,23456789001,Sadakat_Kitlesi,Carousel_Urunler,53356,1679,41954,6673.37,0.0315,3.9746,191,190707.86,TRY
2024-01-01,GenisKitle_Marka_2024,23456789002,Benzer_Kitle_1pct,Banner_V2,16467,825,11834,1702.88,0.0501,2.0641,40,41000.5,TRY
2024-01-01,DynamicProduct_Katalog,23456789003,Genis_Kitle_18-35,Story_Format,60351,2986,43717,7775.99,0.0495,2.6041,85,15708.12,TRY
2024-01-02,RetargetingKampanya_Q1,23456789001,Benzer_Kitle_1pct,Video_15sn,15151,604,10737,2300.62,0.0399,3.809,67,62363.75,TRY
2024-01-02,GenisKitle_Marka_2024,23456789002,Genis_Kitle_18-35,Collection_Format,81351,1824,65114,4537.97,0.0224,2.4879,87,51119.92,TRY
2024-01-02,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Video_15sn,67163,3325,45898,11364.28,0.0495,3.4178,236,210928.18,TRY
2024-01-02,VideoReklam_Farkindalik,23456789004,Retargeting_30gun,Banner_V1,39160,1005,29986,3957.93,0.0257,3.9382,46,35502.67,TRY
2024-01-03,RetargetingKampanya_Q1,23456789001,Video_Izleyiciler,Story_Format,76678,2577,67047,6228.38,0.0336,2.4169,226,205751.73,TRY
2024-01-03,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Video_15sn,21193,773,17964,2687.1,0.0365,3.4762,75,60251.96,TRY
2024-01-03,DynamicProduct_Katalog,23456789003,Benzer_Kitle_1pct,Banner_V1,51867,2678,36306,8365.49,0.0516,3.1238,317,291050.89,TRY
2024-01-04,RetargetingKampanya_Q1,23456789001,Video_Izleyiciler,Collection_Format,43088,881,29735,3469.16,0.0204,3.9378,89,37810.02,TRY
2024-01-04,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Collection_Format,68737,2947,50989,6508.8,0.0429,2.2086,210,108570.23,TRY
2024-01-04,DynamicProduct_Katalog,23456789003,Genis_Kitle_18-35,Video_15sn,68833,2097,58513,2697.5,0.0305,1.2864,177,77484.31,TRY
2024-01-04,VideoReklam_Farkindalik,23456789004,Sadakat_Kitlesi,Banner_V2,25857,1278,18555,4173.97,0.0494,3.266,84,86704.54,TRY
2024-01-04,Sezon_Kampanyasi_Yaz,23456789005,Benzer_Kitle_1pct,Carousel_Urunler,83318,2216,60118,4083.2,0.0266,1.8426,222,192339.86,TRY
2024-01-05,RetargetingKampanya_Q1,23456789001,Sadakat_Kitlesi,Banner_V1,18257,446,13732,1441.34,0.0244,3.2317,41,13942.43,TRY
2024-01-05,GenisKitle_Marka_2024,23456789002,Retargeting_30gun,Carousel_Urunler,64136,2279,48415,8331.72,0.0355,3.6559,117,60043.85,TRY
2024-01-05,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Carousel_Urunler,18203,385,13881,765.31,0.0211,1.9878,27,17057.7,TRY
2024-01-05,VideoReklam_Farkindalik,23456789004,Genis_Kitle_18-35,Collection_Format,15094,759,12302,1699.23,0.0503,2.2388,62,44419.04,TRY
2024-01-06,RetargetingKampanya_Q1,23456789001,Video_Izleyiciler,Banner_V1,27344,982,17873,2210.25,0.0359,2.2508,104,89149.48,TRY
2024-01-06,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Video_15sn,54871,2533,41195,8806.17,0.0462,3.4766,266,170495.88,TRY
2024-01-06,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Video_15sn,78173,2262,59761,9391.55,0.0289,4.1519,158,41935.1,TRY
2024-01-07,RetargetingKampanya_Q1,23456789001,Retargeting_30gun,Story_Format,37183,1330,30167,2730.69,0.0358,2.0532,61,40879.21,TRY
2024-01-07,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Collection_Format,21495,1169,15814,4464.83,0.0544,3.8194,121,45384.75,TRY
2024-01-07,DynamicProduct_Katalog,23456789003,Sadakat_Kitlesi,Collection_Format,60356,3152,50197,13573.11,0.0522,4.3062,302,275139.78,TRY
2024-01-07,VideoReklam_Farkindalik,23456789004,Genis_Kitle_18-35,Banner_V1,18113,831,12485,3130.91,0.0459,3.7676,56,39373.85,TRY
2024-01-08,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Banner_V2,44779,2010,34032,4079.65,0.0449,2.0297,68,33074.74,TRY
2024-01-08,GenisKitle_Marka_2024,23456789002,Video_Izleyiciler,Video_15sn,49676,953,39827,2081.33,0.0192,2.184,109,99917.5,TRY
2024-01-08,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Video_15sn,49354,1312,38149,5284.29,0.0266,4.0277,95,97022.14,TRY
2024-01-08,VideoReklam_Farkindalik,23456789004,Video_Izleyiciler,Carousel_Urunler,43005,1742,35560,3818.07,0.0405,2.1918,64,63054.09,TRY
2024-01-08,Sezon_Kampanyasi_Yaz,23456789005,Sepet_Terk,Banner_V2,25038,1284,21409,3400.74,0.0513,2.6486,62,56337.5,TRY
2024-01-09,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Banner_V1,81651,4177,56506,5574.17,0.0512,1.3345,320,238472.79,TRY
2024-01-09,GenisKitle_Marka_2024,23456789002,Retargeting_30gun,Video_15sn,58338,2806,41213,10697.93,0.0481,3.8125,286,50429.54,TRY
2024-01-09,DynamicProduct_Katalog,23456789003,Video_Izleyiciler,Carousel_Urunler,53954,2276,43117,7906.47,0.0422,3.4738,84,86916.33,TRY
2024-01-10,RetargetingKampanya_Q1,23456789001,Retargeting_30gun,Video_15sn,45404,2275,33037,3068.63,0.0501,1.3488,195,36030.34,TRY
2024-01-10,GenisKitle_Marka_2024,23456789002,Retargeting_30gun,Video_15sn,75908,1850,49619,4370.6,0.0244,2.3625,156,140075.12,TRY
2024-01-10,DynamicProduct_Katalog,23456789003,Retargeting_30gun,Carousel_Urunler,39071,1060,29031,2403.67,0.0271,2.2676,69,14235.11,TRY
2024-01-10,VideoReklam_Farkindalik,23456789004,Video_Izleyiciler,Banner_V1,12456,552,8179,2302.05,0.0443,4.1704,39,14165.29,TRY
2024-01-11,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Story_Format,67567,2346,56999,3086.7,0.0347,1.3157,106,75111.83,TRY
2024-01-11,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Story_Format,24429,523,20987,2146.82,0.0214,4.1048,23,8041.96,TRY
2024-01-11,DynamicProduct_Katalog,23456789003,Video_Izleyiciler,Banner_V1,68621,3516,45299,11523.33,0.0512,3.2774,111,47665.95,TRY
2024-01-11,VideoReklam_Farkindalik,23456789004,Sepet_Terk,Video_15sn,22924,1053,19105,3031.16,0.0459,2.8786,34,28913.94,TRY
2024-01-11,Sezon_Kampanyasi_Yaz,23456789005,Genis_Kitle_18-35,Banner_V1,26212,505,21897,2104.54,0.0193,4.1674,51,9696.15,TRY
2024-01-12,RetargetingKampanya_Q1,23456789001,Genis_Kitle_18-35,Banner_V1,39223,1954,29637,5809.98,0.0498,2.9734,116,95442.96,TRY
2024-01-12,GenisKitle_Marka_2024,23456789002,Benzer_Kitle_1pct,Carousel_Urunler,72188,3866,60217,14688.06,0.0536,3.7993,259,77819.22,TRY
2024-01-12,DynamicProduct_Katalog,23456789003,Video_Izleyiciler,Story_Format,28735,1389,18799,5367.37,0.0483,3.8642,35,10204.41,TRY
2024-01-13,RetargetingKampanya_Q1,23456789001,Video_Izleyiciler,Carousel_Urunler,56497,2179,47588,6602.53,0.0386,3.0301,139,73936.24,TRY
2024-01-13,GenisKitle_Marka_2024,23456789002,Sepet_Terk,Banner_V2,58101,1584,43699,7096.11,0.0273,4.4799,42,18757.32,TRY
2024-01-13,DynamicProduct_Katalog,23456789003,Sepet_Terk,Collection_Format,80680,4309,60363,16121.21,0.0534,3.7413,212,146307.79,TRY
2024-01-13,VideoReklam_Farkindalik,23456789004,Benzer_Kitle_1pct,Carousel_Urunler,16910,816,11112,1242.98,0.0483,1.5233,55,16432.48,TRY
2024-01-14,RetargetingKampanya_Q1,23456789001,Sepet_Terk,Collection_Format,21688,797,15888,2296.71,0.0367,2.8817,20,20300.24,TRY
2024-01-14,GenisKitle_Marka_2024,23456789002,Sadakat_Kitlesi,Story_Format,77147,2509,58367,4394.33,0.0325,1.7514,116,46798.72,TRY
2024-01-14,DynamicProduct_Katalog,23456789003,Genis_Kitle_18-35,Banner_V2,82373,1990,71655,5624.84,0.0242,2.8266,235,78937.71,TRY
