order_id,order_date,customer_id,city,country,device,channel,product_count,order_revenue,discount_amount,refund_amount,order_status,payment_method
ORD-2024-00001,2024-01-01,CUST-0595,Antalya,TR,mobile,organic,2,2593.11,382.48,0,completed,credit_card
ORD-2024-00002,2024-01-01,CUST-1541,Kayseri,TR,desktop,google,5,7958.38,1963.23,5014.32,refunded,bank_transfer
ORD-2024-00003,2024-01-01,CUST-1255,Gaziantep,TR,desktop,organic,6,10863.4,1146.38,0,completed,digital_wallet
ORD-2024-00004,2024-01-01,CUST-1266,Kayseri,TR,mobile,google,3,4398.07,80.14,0,completed,bank_transfer
ORD-2024-00005,2024-01-01,CUST-0632,Istanbul,TR,mobile,meta,1,335.96,7.73,0,completed,credit_card
ORD-2024-00006,2024-01-01,CUST-1768,Adana,TR,mobile,organic,1,1450.03,195.31,838.04,refunded,credit_card
ORD-2024-00007,2024-01-01,CUST-0446,Adana,TR,mobile,direct,4,2502.38,577.84,0,completed,credit_card
ORD-2024-00008,2024-01-01,CUST-1284,Konya,TR,desktop,google,6,14288.74,1470.98,0,cancelled,credit_card
ORD-2024-00009,2024-01-01,CUST-0954,Antalya,TR,mobile,tiktok,4,486.78,40.21,0,completed,credit_card
ORD-2024-00010,2024-01-01,CUST-1232,Adana,TR,mobile,organic,6,3867.95,702.23,0,cancelled,bank_transfer
ORD-2024-00011,2024-01-01,CUST-0259,Antalya,TR,mobile,organic,2,5772.63,1054.18,0,completed,digital_wallet
ORD-2024-00012,2024-01-01,CUST-1570,Mersin,TR,mobile,meta,4,5266.53,784.4,0,completed,bank_transfer
ORD-2024-00013,2024-01-01,CUST-0912,Kayseri,TR,desktop,google,3,2208.5,493.55,0,completed,credit_card
ORD-2024-00014,2024-01-02,CUST-0776,Mersin,TR,desktop,organic,1,2251.89,556.35,1230.11,refunded,digital_wallet
ORD-2024-00015,2024-01-02,CUST-1527,Konya,TR,desktop,organic,1,208.79,48.26,0,completed,digital_wallet
ORD-2024-00016,2024-01-02,CUST-1124,Kayseri,TR,desktop,direct,3,5657.79,627.15,4475.05,refunded,credit_card
ORD-2024-00017,2024-01-02,CUST-1651,Antalya,TR,mobile,google,4,1686.36,265.66,0,completed,digital_wallet
ORD-2024-00018,2024-01-02,CUST-0228,Izmir,TR,mobile,google,3,4611.94,724.28,0,completed,bank_transfer
ORD-2024-00019,2024-01-03,CUST-1687,Konya,TR,mobile,email,5,742.82,84.19,0,cancelled,credit_card
ORD-2024-00020,2024-01-03,CUST-1772,Konya,TR,mobile,meta,3,2441.84,570.62,0,completed,credit_card
ORD-2024-00021,2024-01-03,CUST-1477,Adana,TR,mobile,bing,1,1154.95,189.46,0,completed,bank_transfer
ORD-2024-00022,2024-01-03,CUST-1509,Ankara,TR,mobile,meta,7,17852.48,33.93,0,cancelled,credit_card
