message,severity,attributes,tags,timestamp
2026-05-16T17:11:39.816509Z 0 [ERROR] [MY-012888] [InnoDB] Cannot resize redo log file ./#innodb_redo/#ib_redo322_tmp to 3 MB (Failed to set size),error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.826889294Z
"2026-05-16T17:11:39.823002Z 0 [ERROR] [MY-012144] [InnoDB] posix_fallocate(): Failed to preallocate data for file ./railway/kpi_cache.ibd, desired size 16384 bytes. Operating system error number 28. Check that the disk is not full or a disk quota exceeded. Make sure the file system supports this function. Refer to your operating system documentation for operating system error code information.",error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.826892703Z
2026-05-16T17:11:39.823033Z 0 [Warning] [MY-012638] [InnoDB] Retry attempts for writing partial data failed.,error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.826895627Z
2026-05-16T17:11:39.823038Z 0 [Warning] [MY-012145] [InnoDB] Error while writing 16384 zeroes to ./railway/kpi_cache.ibd starting at offset 163840,error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.826898577Z
2026-05-16T17:11:39.831443Z 0 [Warning] [MY-012638] [InnoDB] Retry attempts for writing partial data failed.,error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.835978503Z
2026-05-16T17:11:39.831462Z 0 [ERROR] [MY-012888] [InnoDB] Cannot resize redo log file ./#innodb_redo/#ib_redo322_tmp to 3 MB (Failed to set size),error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.835982991Z
2026-05-16T17:11:39.847452Z 0 [Warning] [MY-012638] [InnoDB] Retry attempts for writing partial data failed.,error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.848415552Z
2026-05-16T17:11:39.847468Z 0 [ERROR] [MY-012888] [InnoDB] Cannot resize redo log file ./#innodb_redo/#ib_redo322_tmp to 3 MB (Failed to set size),error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.848423245Z
2026-05-16T17:11:39.862321Z 0 [Warning] [MY-012638] [InnoDB] Retry attempts for writing partial data failed.,error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.864118656Z
2026-05-16T17:11:39.862337Z 0 [ERROR] [MY-012888] [InnoDB] Cannot resize redo log file ./#innodb_redo/#ib_redo322_tmp to 3 MB (Failed to set size),error,"{""level"":""error""}","{""project"":""0ee5f251-6f6f-4df1-88b1-bb752a8a350b"",""environment"":""e0e44f1f-ec58-480e-94e9-09bad9cd99ba"",""service"":""df16bcd7-7927-4bbf-adf1-191ac3e92d21"",""deployment"":""9f2b543f-0b35-41bc-9cb5-d19bf9898c07"",""replica"":""1901484f-77af-4ab4-83ab-a08df9c439b6""}",2026-05-16T17:11:39.864122458Z
